Rk,G,Date,Age,Tm,HomeOrAway,Opp,Result,PointDiff,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,31,2022-12-27,20-155,HOU,Away,BOS,L,-24,1,21:56,0,3,0,0,0,,0,0,,4,5,9,2,1,0,1,2,0,2.8,-10
35,32,2022-12-29,20-157,HOU,Away,DAL,L,-15,1,16:50,3,7,0.429,0,1,0,5,6,0.833,3,3,6,1,0,0,1,5,11,7.6,-14
36,,2022-12-31,20-159,HOU,Home,NYK,L,-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,33,2023-01-02,20-161,HOU,Home,DAL,L,-5,1,25:34:00,5,7,0.714,0,0,,6,8,0.75,1,5,6,5,0,1,2,5,16,14.7,+5
38,34,2023-01-04,20-163,HOU,Away,NOP,L,-11,1,21:54,5,11,0.455,0,0,,3,3,1,3,1,4,5,2,1,1,3,13,13.7,-3
39,35,2023-01-05,20-164,HOU,Home,UTA,L,-17,1,32:29:00,7,14,0.5,0,0,,6,8,0.75,8,6,14,3,1,1,3,5,20,18.4,-1
40,36,2023-01-08,20-167,HOU,Home,MIN,L,-8,1,35:17:00,8,15,0.533,0,0,,2,4,0.5,3,5,8,2,0,1,5,5,18,8.6,-11
41,37,2023-01-11,20-170,HOU,Away,SAC,L,-20,1,28:23:00,5,9,0.556,0,0,,0,1,0,2,8,10,10,1,0,2,4,10,13.5,-10
42,38,2023-01-13,20-172,HOU,Away,SAC,L,-25,1,28:01:00,6,9,0.667,0,0,,2,4,0.5,2,4,6,7,4,0,4,3,14,15.6,-2
43,39,2023-01-15,20-174,HOU,Away,LAC,L,-21,1,29:36:00,7,12,0.583,1,1,1,0,0,,4,4,8,6,1,1,6,2,15,12.5,-6
44,40,2023-01-16,20-175,HOU,Away,LAL,L,-8,1,37:19:00,14,17,0.824,2,2,1,3,5,0.6,4,11,15,6,0,4,2,5,33,35,-6
45,41,2023-01-18,20-177,HOU,Home,CHO,L,-5,1,39:14:00,10,16,0.625,0,1,0,4,4,1,5,7,12,6,2,1,3,4,24,24.7,+2
46,42,2023-01-21,20-180,HOU,Away,MIN,L,-9,1,37:06:00,7,9,0.778,1,1,1,4,10,0.4,2,14,16,7,1,3,4,2,19,21.9,-5
47,43,2023-01-23,20-182,HOU,Home,MIN,W,5,1,34:48:00,8,12,0.667,1,2,0.5,4,8,0.5,1,6,7,7,0,0,5,3,21,15.4,+8
48,44,2023-01-25,20-184,HOU,Home,WAS,L,-5,1,36:42:00,10,16,0.625,0,0,,1,1,1,6,5,11,10,3,2,3,1,21,27.5,+3
49,45,2023-01-26,20-185,HOU,Home,CLE,L,-18,1,30:19:00,6,10,0.6,0,0,,2,3,0.667,1,6,7,7,2,2,4,4,14,14.2,-11
50,,2023-01-28,20-187,HOU,Away,DET,W,3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,46,2023-02-01,20-191,HOU,Home,OKC,W,6,1,32:51:00,4,10,0.4,0,0,,2,4,0.5,5,7,12,4,0,3,3,4,10,9.7,+15
52,47,2023-02-03,20-193,HOU,Home,TOR,L,-6,1,33:19:00,6,10,0.6,0,0,,9,12,0.75,2,2,4,4,2,0,2,5,21,18,-3
53,48,2023-02-04,20-194,HOU,Away,OKC,L,-32,1,15:13:00,5,8,0.625,0,0,,0,0,,1,3,4,1,1,1,3,4,10,5.8,-24
54,49,2023-02-06,20-196,HOU,Home,SAC,L,-20,1,36:03:00,4,10,0.4,1,2,0.5,6,6,1,0,7,7,7,0,0,2,2,15,13.8,-9
55,50,2023-02-08,20-198,HOU,Home,SAC,L,-2,1,34:33:00,7,11,0.636,1,2,0.5,3,4,0.75,3,6,9,11,1,1,4,5,18,20,-3
56,51,2023-02-10,20-200,HOU,Away,MIA,L,-2,1,30:57:00,3,9,0.333,0,0,,6,6,1,2,6,8,3,1,0,4,2,12,8.4,-2
57,52,2023-02-13,20-203,HOU,Away,PHI,L,-19,1,32:58:00,5,9,0.556,0,1,0,2,2,1,2,6,8,1,2,0,2,3,12,10.4,-5
58,53,2023-02-15,20-205,HOU,Away,OKC,L,-37,1,21:35:00,4,12,0.333,0,1,0,0,0,,5,5,10,2,0,0,3,4,8,3,-20
59,54,2023-02-24,20-214,HOU,Away,GSW,L,-15,1,24:08:00,2,10,0.2,1,1,1,0,0,,3,6,9,8,0,0,2,2,5,5.5,-3
60,55,2023-02-26,20-216,HOU,Away,POR,L,-17,1,24:46:00,8,16,0.5,0,0,,1,2,0.5,8,2,10,5,0,0,2,4,17,14.7,-14
61,56,2023-02-28,20-218,HOU,Home,DEN,L,-21,1,29:02:00,3,9,0.333,0,2,0,1,3,0.333,0,2,2,8,0,2,2,4,7,5.1,-36
62,57,2023-03-01,20-219,HOU,Home,MEM,L,-14,1,31:23:00,5,6,0.833,0,1,0,1,4,0.25,3,5,8,5,1,0,4,2,11,10.9,-7
63,58,2023-03-04,20-222,HOU,Away,SAS,W,12,1,27:35:00,6,9,0.667,1,2,0.5,3,4,0.75,5,5,10,4,1,0,4,4,16,14.9,+10
64,59,2023-03-05,20-223,HOU,Home,SAS,W,32,1,26:36:00,6,9,0.667,0,0,,3,4,0.75,3,11,14,3,3,1,1,2,15,20.1,+22
65,60,2023-03-07,20-225,HOU,Home,BRK,L,-22,1,33:38:00,6,12,0.5,0,0,,4,5,0.8,4,8,12,2,0,0,4,3,16,11,0
66,61,2023-03-09,20-227,HOU,Away,IND,L,-9,1,25:35:00,7,11,0.636,0,0,,0,2,0,3,5,8,3,0,2,3,4,14,10.8,-11
67,62,2023-03-11,20-229,HOU,Home,CHI,L,-8,1,33:18:00,4,9,0.444,0,0,,2,2,1,2,3,5,5,3,1,2,1,10,12.4,-3
68,,2023-03-13,20-231,HOU,Home,BOS,W,2,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,63,2023-03-15,20-233,HOU,Home,LAL,W,4,1,31:02:00,6,10,0.6,0,0,,1,2,0.5,2,7,9,6,1,2,2,4,13,14.5,-3
